Date,LWSC,Runoff,P,E,Area,Runoff m3
2009/6/1,0.211071879,210.43,38.925,65.78221191,596.9592,18571966.18
2009/7/1,-0.797813223,660.451,96.25,74.15668457,595.27,51607756.99
2009/8/1,2.537641281,828.204,33.725,61.47351563,600.6429,26458835.59
2009/9/1,0.494783897,524.952,76.0375,55.17862305,601.6905,32504577.62
2009/10/1,-1.925579971,1456.631,9.2375,14.51295654,597.6135,6511629.039
2009/11/1,-0.645637313,781.07,5.7,0.375108109,596.2465,2770098.339
2009/12/1,-0.879474373,962.018,4.775,0.463854218,594.3844,2622228.502
2010/1/1,0.752424935,276.763,3.75,1.205648727,595.9775,2375848.648
2010/2/1,0.570352291,166.999,5.5625,10.77459717,597.1851,2064616.816
2010/3/1,0.06517771,160.807,24.075,25.70806396,597.3231,13842005.14
2010/4/1,1.245414803,146.866,16.9,38.31255371,599.96,6359410.098
2010/5/1,-0.2092299,122.446,50.2875,58.31578125,599.517,24378550.93
2010/6/1,0.472632914,467.618,65.475,86.6150293,600.5177,34789985.93
2010/7/1,0.657633796,220.812,61.4125,86.14803711,601.9101,31081451.97
2010/8/1,0.50517455,686.121,30.825,65.78870117,602.9797,21571640.99
2010/9/1,0.823978787,979.371,63.05,28.37287109,604.7243,17702019.89
2010/10/1,-0.643086876,870.065,31.075,19.91799561,603.3627,9138732.541
2010/11/1,-2.816538799,615.734,1.05,0.653202057,597.3993,2379127.496
2010/12/1,-0.481417739,532.596,4.75,0.17875145,596.38,2203590.354
2011/1/1,0.98238917,331.107,2.2125,1.23835144,598.46,2059552.947
2011/2/1,0.549523751,142.955,4.95,9.100661621,599.6235,1643380.181
2011/3/1,-0.378880891,134.28,6.9375,15.68967773,598.8213,5651098.988
2011/4/1,0.76097361,126.702,6.9625,30.20522949,600.4325,20816129.63
2011/5/1,0.624761539,101.57,26.0625,44.77405762,601.7553,15510604.73
2011/6/1,0.183820038,209.183,85.2125,83.69226563,602.1445,44127533.77
2011/7/1,1.409351341,659.337,48.9125,79.47509766,605.1285,30176931.53
2011/8/1,-0.442358329,450.14,71.1,55.52553223,604.1919,38790171.57
2011/9/1,0.108676748,1252.351,30.65,34.75645508,604.422,22189216.21
2011/10/1,-0.964488879,844.44,8.45,11.37339478,602.3799,5006999.665
2011/11/1,-0.586505035,1098.086,4.8,2.707689819,601.1381,2632754.707
2011/12/1,-0.265339412,678.268,2.1875,0.401225243,600.5763,2530448.884
2012/1/1,1.149442762,212.294,4.9625,1.784323883,603.01,2304758.875
2012/2/1,-0.410902991,158.777,5.925,12.2399353,602.14,1963729.846
2012/3/1,0.546217633,154.804,6.075,23.37252686,603.2965,1922833.503
2012/4/1,0.548154073,141.903,9.35,32.62792969,604.4571,25717549.45
2012/5/1,-0.390641219,121.544,43.6625,67.94658691,603.63,23936501.09
2012/6/1,0.047230225,119.482,79.9125,61.31675293,603.73,33234197.31
2012/7/1,0.547870691,803.41,125.9,103.3611621,604.89,65803687.94
2012/8/1,0.518115636,708.996,58.8375,62.5372998,605.987,51725187.57
2012/9/1,0.716341005,951.215,9.9375,32.1630835,607.5037,7785718.77
2012/10/1,0.015869356,1853.1,3.325,9.22333252,607.5373,3155528.769
2012/11/1,0.9883874,1499.845,6.8125,2.123257599,609.63,3126923.644
2012/12/1,-0.139234704,298.176,6.8875,0.200529652,609.3352,3031479.119
2013/1/1,-0.42280501,182.027,2.6,2.24841156,608.44,19484566.89
2013/2/1,0.699007498,190.904,9.325,8.195383301,609.92,2372437.119
2013/3/1,0.047230225,186.849,5.9,17.53387939,610.02,4174157.479
2013/4/1,-0.05455091,384.651,9,25.45499023,609.9045,16067547.82
2013/5/1,-0.228830445,146.698,58.575,52.43527344,609.42,23483559.88
2013/6/1,-0.373118801,190.733,62.3,58.1901709,608.63,28573768.55
2013/7/1,-0.741798116,517.031,85.1625,83.37539063,607.0594,45529992.14
2013/8/1,-0.254759841,737.366,59.1375,60.34413086,606.52,35211581.7
2013/9/1,0.661223293,801.277,33.5,40.87020264,607.92,17508970.98
2013/10/1,-0.770608579,1329.599,9.3625,13.04294922,606.2884,4572466.554
2013/11/1,0.449442865,974.459,8.225,0.772692642,607.24,2804800.159
2013/12/1,-0.73702786,529.03,0.925,0.276715965,605.6795,2662930.042
2014/1/1,1.027021786,182.902,2.55,3.528287354,607.854,2397211.78
2014/2/1,0.416381698,168.379,7.5375,11.26463379,608.7356,2010519.18
2014/3/1,-3.077347371,164.348,6.3875,44.55257324,602.22,16445032.74
2014/4/1,0.71317658,148.497,27.6375,36.5351709,603.73,8611781.749
2014/5/1,0.288104383,125.062,19.675,38.90910156,604.34,13395684.56
2014/6/1,0.633310213,547.608,82.25,83.0274707,605.6809,31722988.16
2014/7/1,-0.492989147,285.459,81.9375,66.43364258,604.6371,47199478.76
2014/8/1,0.336657061,420.506,61.9625,63.30324707,605.3499,36713731.87
2014/9/1,0.788792233,943.909,33.725,37.83065674,607.02,17091498.6
2014/10/1,-0.170076042,1342.126,24.4125,13.01366455,606.6599,9611512.593
2014/11/1,0.361736315,1025.998,6.45,1.274046326,607.4258,3347024.198
2014/12/1,1.210417093,527.511,2.3,0.053602395,609.9886,2502030.7
2015/1/1,-0.356399299,348.536,12.3625,3.547479248,609.234,2335293.43
2015/2/1,-0.006612231,169.321,7.2125,12.87938599,609.22,1899363.774
2015/3/1,-0.136967653,154.272,7.875,31.90952148,608.93,25376603.37
2015/4/1,0.18419788,145.089,16.375,36.93068848,609.32,12199146.62
2015/5/1,0.616449011,118.098,40.775,63.08490234,610.6252,18084634.23
2015/6/1,1.020929069,861.469,79.825,101.5569141,612.7868,31676875.96
2015/7/1,0.331036663,363.336,61,85.03006836,613.4877,32884767.95
2015/8/1,0.241865988,552.022,42.6,64.15438477,613.9998,22638488.33
2015/9/1,-0.357060521,952.156,49.6125,43.2361084,613.2438,26237392.42
2015/10/1,0.19680835,926.003,7.125,16.41354248,613.6605,5609166.44
2015/11/1,-1.688813549,631.185,7.45,4.69191803,610.0848,3444544.64
2015/12/1,0.563220519,802.084,1.4125,0.114263878,611.2773,2508408.429
2016/1/1,-1.012097006,180.267,4.3625,1.976300964,609.1344,2254376.679
2016/2/1,0.892651604,175.629,3.5625,12.30172363,611.0244,1873752.073
2016/3/1,0.649699108,152.527,11.65,27.12249268,612.4,7129256.245
2016/4/1,0.604546986,139.464,19.2125,45.29074219,613.68,11461819.85
2016/5/1,-0.802914078,116.003,43.0875,53.40364258,611.98,14655982.99
2016/6/1,0.146413698,282.113,29.2125,56.63106445,612.29,11342369.49
2016/7/1,0.453410204,338.82,83.6625,61.99050781,613.25,43891613.16
2016/8/1,0.544706262,433.539,112.9625,47.92103516,614.4033,64044871.42
2016/9/1,0.961938426,308.168,43.925,42.8975293,616.44,28188836.72
2016/10/1,-0.156568197,1275.5,15.0625,12.25549438,616.1085,7687364.257
2016/11/1,-0.320457091,1792.399,5.1625,2.252764893,615.43,2965180.569
2016/12/1,-1.789178215,788.945,2.025,0.217608109,611.6418,2691401.326
2017/1/1,0.092240629,30.464,4.25,1.476208344,611.8371,2472478.196
